Provincia,Lat,Lon,Internet,Partos_Sin,Desnutricion,Mortalidad,Poblacion,Hospitales,Centros_Salud,Medicos_por_1000,Alfabetizacion,Pobreza,Agua_Potable,Desague
Puno,-15.8402,-70.0219,15,20,12,45,150000,3,25,1.8,92,25,85,80
San Román,-15.5000,-70.1333,45,25,18,68,280000,5,45,2.5,95,18,92,88
Huancané,-15.5833,-69.9333,70,40,28,95,75000,1,12,0.8,85,35,70,65
Azángaro,-14.9667,-70.0333,55,35,24,82,65000,1,15,1.0,88,30,75,70
Carabaya,-14.5167,-69.7500,75,45,32,110,70000,1,18,0.9,82,38,68,60
Chucuito,-16.2833,-69.4167,30,20,15,55,85000,2,20,1.2,90,28,80,75
El Collao,-16.0833,-69.5833,50,30,22,78,75000,1,16,1.1,87,32,72,68
Lampa,-15.8333,-70.4167,60,35,26,88,50000,1,12,0.9,86,34,74,70
Melgar,-15.3833,-70.1833,55,40,27,92,75000,2,18,1.3,89,30,78,73
Moho,-15.6167,-69.6833,65,42,30,100,35000,1,8,0.7,84,36,65,60
Sandia,-14.7667,-69.4833,80,50,38,125,60000,1,15,0.8,80,42,62,58
Yunguyo,-16.2333,-69.0833,35,22,16,60,45000,1,10,1.0,88,30,75,70
